1,-0
0.9002036,0.0070599
0.8004306,0.015718
0.7007105,0.0279716
0.6010416,0.043721
0.5014448,0.0643644
0.401792,0.0812125
0.3020616,0.0927669
0.2521488,0.0952981
0.2021831,0.0942337
0.1521485,0.0884749
0.1020302,0.0770231
0.0769359,0.0689001
0.0518005,0.0579806
0.0265991,0.0425664
0.0139486,0.0314635
0.0011073,0.0073763
0,0
0.0009064,-0.006307
0.0131976,-0.0196743
0.0256179,-0.0242523
0.0505054,-0.0302122
0.0754237,-0.0340747
0.1003567,-0.0369383
0.1502402,-0.0414671
0.200156,-0.0437985
0.2500953,-0.0445319
0.3000346,-0.0452652
0.3999131,-0.046732
0.4997917,-0.0481987
0.5997362,-0.045171
0.6997366,-0.0383478
0.7997838,-0.0283285
0.8998751,-0.0153129
1,-0
