1,0
0.98674,0.00161
0.97405,0.00345
0.94056,0.0082
0.90954,0.01262
0.87705,0.01772
0.85176,0.02196
0.82615,0.02614
0.79864,0.03053
0.7697,0.03505
0.73974,0.03909
0.71085,0.04192
0.67758,0.04438
0.6625,0.04539
0.64741,0.04635
0.6296,0.0474
0.61263,0.04833
0.596,0.04919
0.58091,0.04991
0.56635,0.05055
0.54748,0.05133
0.53239,0.05189
0.51353,0.05254
0.49485,0.0531
0.47976,0.05351
0.46137,0.05394
0.44628,0.05425
0.42929,0.05455
0.41232,0.05478
0.39533,0.05497
0.38024,0.05508
0.36513,0.05514
0.34814,0.05516
0.33421,0.05512
0.31722,0.05501
0.30211,0.05486
0.28701,0.05465
0.27184,0.05438
0.25673,0.05404
0.24162,0.05363
0.22738,0.05317
0.21605,0.05275
0.20093,0.05212
0.18724,0.05146
0.17401,0.05074
0.16266,0.05004
0.14943,0.04915
0.13619,0.04815
0.12628,0.0473
0.11871,0.04662
0.11493,0.04624
0.10901,0.04563
0.10522,0.04521
0.10145,0.04476
0.09955,0.04453
0.09766,0.04428
0.09577,0.04401
0.09457,0.04384
0.09337,0.04365
0.09217,0.04346
0.08977,0.04307
0.08617,0.04243
0.07672,0.04057
0.06728,0.03842
0.05969,0.03648
0.05219,0.03435
0.04498,0.03207
0.03956,0.03017
0.02729,0.02515
0.01748,0.02005
0.00978,0.01508
0.00416,0.01023
0.00125,0.00617
0,0
0.00054,-0.00251
0.00118,-0.00363
0.00265,-0.0052
0.0045,-0.00641
0.0073,-0.00765
0.00992,-0.0086
0.01334,-0.00964
0.01749,-0.01072
0.02181,-0.0117
0.02769,-0.01286
0.035,-0.01411
0.03938,-0.01477
0.04638,-0.01573
0.05274,-0.01654
0.06154,-0.01754
0.06978,-0.0184
0.07732,-0.01913
0.08778,-0.02008
0.09531,-0.02072
0.10662,-0.02162
0.11645,-0.02234
0.12776,-0.02313
0.13908,-0.02387
0.15039,-0.02455
0.1617,-0.0252
0.1749,-0.02589
0.18864,-0.02656
0.20185,-0.02714
0.21505,-0.02768
0.22825,-0.02817
0.24145,-0.02862
0.25655,-0.02908
0.27168,-0.02949
0.28678,-0.02985
0.31696,-0.03043
0.34904,-0.03083
0.38098,-0.03107
0.41307,-0.03115
0.44726,-0.03106
0.48125,-0.03078
0.51389,-0.0303
0.5472,-0.02959
0.58067,-0.02861
0.61492,-0.02754
0.64771,-0.02638
0.67813,-0.02512
0.7094,-0.02375
0.74105,-0.02238
0.76943,-0.02097
0.79937,-0.01947
0.82514,-0.01805
0.85298,-0.01653
0.87654,-0.01505
0.90896,-0.0125
0.9407,-0.00885
0.97353,-0.00352
0.98677,-0.00135
1,0
