NORMHEIGHT

0.5000  RAYLEIGHDMP
1.0   STIFFTUNER
1.0   MASSTUNER

34   DISC

LENGTH_[m] MASS_[kg/m] Eix_[N.m^2] Eiy_[N.m^2] EA_[N] GJ_[N.m^2] GA_[N] STRPIT_[deg] KSX_[-] KSY_[-] RGX_[-] RGY_[-] XCM_[-] YCM_[-] XCE_[-] YCE_[-] XCS_[-] YCS_[-] 
2.9412e-02 4.5977e+02 3.8302e+07 6.4045e+08 1.1633e+10 2.5680e+08 4.4013e+09 0.0000e+00 0.0000e+00 0.0000e+00 7.5302e-01 3.0792e+00 5.5237e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.9412e-02 4.5977e+02 3.8302e+07 6.4045e+08 1.1633e+10 2.5680e+08 4.4013e+09 0.0000e+00 0.0000e+00 0.0000e+00 7.5302e-01 3.0792e+00 5.5237e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.9412e-02 4.5977e+02 3.8302e+07 6.4045e+08 1.1633e+10 2.5680e+08 4.4013e+09 0.0000e+00 0.0000e+00 0.0000e+00 7.5302e-01 3.0792e+00 5.5237e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.9412e-02 4.5977e+02 3.8302e+07 6.4045e+08 1.1633e+10 2.5680e+08 4.4013e+09 0.0000e+00 0.0000e+00 0.0000e+00 7.5302e-01 3.0792e+00 5.5237e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.9412e-02 4.5977e+02 3.8302e+07 6.4045e+08 1.1633e+10 2.5680e+08 4.4013e+09 0.0000e+00 0.0000e+00 0.0000e+00 7.5302e-01 3.0792e+00 5.5237e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.9412e-02 4.5977e+02 3.8302e+07 6.4045e+08 1.1633e+10 2.5680e+08 4.4013e+09 0.0000e+00 0.0000e+00 0.0000e+00 7.5302e-01 3.0792e+00 5.5237e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.9412e-02 4.5977e+02 3.8302e+07 6.4045e+08 1.1633e+10 2.5680e+08 4.4013e+09 0.0000e+00 0.0000e+00 0.0000e+00 7.5302e-01 3.0792e+00 5.5237e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.9412e-02 4.5977e+02 3.8302e+07 6.4045e+08 1.1633e+10 2.5680e+08 4.4013e+09 0.0000e+00 0.0000e+00 0.0000e+00 7.5302e-01 3.0792e+00 5.5237e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.9412e-02 4.5977e+02 3.8302e+07 6.4045e+08 1.1633e+10 2.5680e+08 4.4013e+09 0.0000e+00 0.0000e+00 0.0000e+00 7.5302e-01 3.0792e+00 5.5237e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.9412e-02 4.0230e+02 2.5659e+07 5.6041e+08 1.0179e+10 2.2173e+08 3.8512e+09 0.0000e+00 0.0000e+00 0.0000e+00 6.5889e-01 3.0792e+00 5.5237e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.9412e-02 4.0230e+02 2.5659e+07 5.6041e+08 1.0179e+10 2.2173e+08 3.8512e+09 0.0000e+00 0.0000e+00 0.0000e+00 6.5889e-01 3.0792e+00 5.5237e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.9412e-02 4.0230e+02 2.5659e+07 5.6041e+08 1.0179e+10 2.2173e+08 3.8512e+09 0.0000e+00 0.0000e+00 0.0000e+00 6.5889e-01 3.0792e+00 5.5237e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.9412e-02 4.0230e+02 2.5659e+07 5.6041e+08 1.0179e+10 2.2173e+08 3.8512e+09 0.0000e+00 0.0000e+00 0.0000e+00 6.5889e-01 3.0792e+00 5.5237e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.9412e-02 4.0230e+02 2.5659e+07 5.6041e+08 1.0179e+10 2.2173e+08 3.8512e+09 0.0000e+00 0.0000e+00 0.0000e+00 6.5889e-01 3.0792e+00 5.5237e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
